demo_id,filename,event,date,team1,team2,map_name,status,notes
iem-chengdu-2025__final__vitality-vs-furia-m3-overpass,iem-chengdu-2025__final__vitality-vs-furia-m3-overpass.dem,iem chengdu 2025 | final,,vitality,furia,overpass,featured,24 rounds
iem-cologne-2024__final__vitality-vs-natus-vincere-m1-nuke,iem-cologne-2024__final__vitality-vs-natus-vincere-m1-nuke.dem,iem cologne 2024 | final,,vitality,natus vincere,nuke,featured,30 rounds
iem-cologne-2024__final__vitality-vs-natus-vincere-m2-dust2,iem-cologne-2024__final__vitality-vs-natus-vincere-m2-dust2.dem,iem cologne 2024 | final,,vitality,natus vincere,dust2,featured,23 rounds
iem-cologne-2024__final__vitality-vs-natus-vincere-m3-mirage,iem-cologne-2024__final__vitality-vs-natus-vincere-m3-mirage.dem,iem cologne 2024 | final,,vitality,natus vincere,mirage,featured,42 rounds
iem-cologne-2024__final__vitality-vs-natus-vincere-m4-inferno,iem-cologne-2024__final__vitality-vs-natus-vincere-m4-inferno.dem,iem cologne 2024 | final,,vitality,natus vincere,inferno,featured,22 rounds
iem-cologne-2024__semi-final-1__natus-vincere-vs-mouz-m1-inferno,iem-cologne-2024__semi-final-1__natus-vincere-vs-mouz-m1-inferno.dem,iem cologne 2024 | semi final 1,,natus vincere,mouz,inferno,featured,30 rounds
iem-cologne-2024__semi-final-1__natus-vincere-vs-mouz-m2-mirage,iem-cologne-2024__semi-final-1__natus-vincere-vs-mouz-m2-mirage.dem,iem cologne 2024 | semi final 1,,natus vincere,mouz,mirage,featured,24 rounds
iem-cologne-2024__semi-final-2__vitality-vs-saw-m1-nuke,iem-cologne-2024__semi-final-2__vitality-vs-saw-m1-nuke.dem,iem cologne 2024 | semi final 2,,vitality,saw,nuke,featured,19 rounds
iem-cologne-2024__semi-final-2__vitality-vs-saw-m2-dust2,iem-cologne-2024__semi-final-2__vitality-vs-saw-m2-dust2.dem,iem cologne 2024 | semi final 2,,vitality,saw,dust2,featured,18 rounds
iem-cologne-2025__final__spirit-vs-mouz-m1-mirage,iem-cologne-2025__final__spirit-vs-mouz-m1-mirage.dem,iem cologne 2025 | final,,spirit,mouz,mirage,featured,20 rounds
iem-cologne-2025__final__spirit-vs-mouz-m3-nuke,iem-cologne-2025__final__spirit-vs-mouz-m3-nuke.dem,iem cologne 2025 | final,,spirit,mouz,nuke,featured,19 rounds
iem-cologne-2025__semi-final__vitality-vs-mouz-m2-train,iem-cologne-2025__semi-final__vitality-vs-mouz-m2-train.dem,iem cologne 2025 | semi final,,vitality,mouz,train,featured,21 rounds
